customer_key,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_segment
16981,261,1,53,4,5,5,4-5-5
17718,277,1,53,4,5,5,4-5-5
1815,279,1,53,4,5,5,4-5-5
11541,283,1,53,4,5,5,4-5-5
12425,289,1,53,4,5,5,4-5-5
10743,278,1,49,4,5,5,4-5-5
3123,291,1,49,4,5,5,4-5-5
14654,263,1,48,4,5,5,4-5-5
13436,289,1,47,4,5,5,4-5-5
8389,290,1,45,4,5,5,4-5-5
12491,264,1,44,4,5,5,4-5-5
15558,266,1,44,4,5,5,4-5-5
12746,277,1,44,4,5,5,4-5-5
9874,272,1,43,4,5,5,4-5-5
12737,273,1,43,4,5,5,4-5-5
13399,289,1,43,4,5,5,4-5-5
11025,274,1,42,4,5,5,4-5-5
10777,275,1,42,4,5,5,4-5-5
16497,278,1,42,4,5,5,4-5-5
10964,272,1,40,4,5,5,4-5-5
11213,274,1,40,4,5,5,4-5-5
14625,263,1,39,4,5,5,4-5-5
13450,263,1,39,4,5,5,4-5-5
13413,271,1,39,4,5,5,4-5-5
13726,272,1,39,4,5,5,4-5-5
10027,273,1,39,4,5,5,4-5-5
9575,278,1,39,4,5,5,4-5-5
13397,281,1,39,4,5,5,4-5-5
13947,286,1,39,4,5,5,4-5-5
14024,290,1,39,4,5,5,4-5-5
18251,282,1,38,4,5,5,4-5-5
13356,262,1,37,4,5,5,4-5-5
11212,262,1,37,4,5,5,4-5-5
4010,264,1,37,4,5,5,4-5-5
14198,265,1,37,4,5,5,4-5-5
11848,266,1,37,4,5,5,4-5-5
11548,270,1,37,4,5,5,4-5-5
10172,271,1,37,4,5,5,4-5-5
12823,272,1,37,4,5,5,4-5-5
13531,276,1,37,4,5,5,4-5-5
12589,276,1,37,4,5,5,4-5-5
12283,276,1,37,4,5,5,4-5-5
12390,278,1,37,4,5,5,4-5-5
14172,281,1,37,4,5,5,4-5-5
3086,283,1,37,4,5,5,4-5-5
10979,285,1,37,4,5,5,4-5-5
12073,286,1,37,4,5,5,4-5-5
4093,289,1,37,4,5,5,4-5-5
9251,289,1,37,4,5,5,4-5-5
2497,290,1,37,4,5,5,4-5-5
11139,290,1,37,4,5,5,4-5-5
15629,265,1,36,4,5,5,4-5-5
18397,271,1,36,4,5,5,4-5-5
15390,280,1,36,4,5,5,4-5-5
15928,285,1,36,4,5,5,4-5-5
15288,261,1,35,4,5,5,4-5-5
11287,265,1,35,4,5,5,4-5-5
4690,273,1,35,4,5,5,4-5-5
13618,274,1,35,4,5,5,4-5-5
11736,275,1,35,4,5,5,4-5-5
13983,279,1,35,4,5,5,4-5-5
9555,280,1,35,4,5,5,4-5-5
10187,281,1,35,4,5,5,4-5-5
10410,283,1,35,4,5,5,4-5-5
12452,283,1,35,4,5,5,4-5-5
10954,286,1,35,4,5,5,4-5-5
543,266,1,34,4,5,5,4-5-5
18439,266,1,34,4,5,5,4-5-5
16314,272,1,34,4,5,5,4-5-5
18443,288,1,34,4,5,5,4-5-5
13316,261,1,33,4,5,5,4-5-5
13678,263,1,33,4,5,5,4-5-5
3181,268,1,33,4,5,5,4-5-5
3203,279,1,33,4,5,5,4-5-5
13769,284,1,33,4,5,5,4-5-5
13964,286,1,33,4,5,5,4-5-5
4447,262,1,32,4,5,5,4-5-5
14966,263,1,32,4,5,5,4-5-5
7573,265,1,32,4,5,5,4-5-5
6275,270,1,32,4,5,5,4-5-5
9951,271,1,32,4,5,5,4-5-5
15334,271,1,32,4,5,5,4-5-5
14189,275,1,32,4,5,5,4-5-5
15681,277,1,32,4,5,5,4-5-5
14926,278,1,32,4,5,5,4-5-5
17906,282,1,32,4,5,5,4-5-5
12004,285,1,32,4,5,5,4-5-5
8353,286,1,32,4,5,5,4-5-5
12006,287,1,32,4,5,5,4-5-5
2653,269,1,31,4,5,5,4-5-5
17573,269,1,31,4,5,5,4-5-5
8343,271,1,31,4,5,5,4-5-5
2053,272,1,31,4,5,5,4-5-5
16073,275,1,31,4,5,5,4-5-5
10096,281,1,31,4,5,5,4-5-5
16946,281,1,31,4,5,5,4-5-5
9042,283,1,31,4,5,5,4-5-5
2986,285,1,31,4,5,5,4-5-5
9141,273,1,30,4,5,5,4-5-5
12513,275,1,30,4,5,5,4-5-5
2188,277,1,30,4,5,5,4-5-5
2309,280,1,30,4,5,5,4-5-5
15241,280,1,30,4,5,5,4-5-5
15338,282,1,30,4,5,5,4-5-5
11991,283,1,30,4,5,5,4-5-5
15493,284,1,30,4,5,5,4-5-5
11864,288,1,30,4,5,5,4-5-5
12470,290,1,30,4,5,5,4-5-5
6877,262,1,29,4,5,5,4-5-5
17861,262,1,29,4,5,5,4-5-5
16247,263,1,29,4,5,5,4-5-5
3623,264,1,29,4,5,5,4-5-5
15698,275,1,29,4,5,5,4-5-5
18437,277,1,29,4,5,5,4-5-5
16238,278,1,29,4,5,5,4-5-5
18178,279,1,29,4,5,5,4-5-5
8260,284,1,29,4,5,5,4-5-5
17615,262,1,27,4,5,5,4-5-5
1643,262,1,27,4,5,5,4-5-5
17915,267,1,27,4,5,5,4-5-5
15145,272,1,27,4,5,5,4-5-5
17983,273,1,27,4,5,5,4-5-5
1544,273,1,27,4,5,5,4-5-5
17616,274,1,27,4,5,5,4-5-5
4014,274,1,27,4,5,5,4-5-5
14843,276,1,27,4,5,5,4-5-5
14339,276,1,27,4,5,5,4-5-5
17804,280,1,27,4,5,5,4-5-5
18174,280,1,27,4,5,5,4-5-5
14008,282,1,27,4,5,5,4-5-5
14357,289,1,27,4,5,5,4-5-5
12717,291,1,27,4,5,5,4-5-5
7032,261,1,25,4,5,5,4-5-5
9770,264,1,25,4,5,5,4-5-5
9551,267,1,25,4,5,5,4-5-5
11799,270,1,25,4,5,5,4-5-5
14343,273,1,25,4,5,5,4-5-5
18130,274,1,25,4,5,5,4-5-5
14032,275,1,25,4,5,5,4-5-5
8924,277,1,25,4,5,5,4-5-5
5439,281,1,25,4,5,5,4-5-5
14894,281,1,25,4,5,5,4-5-5
14337,281,1,25,4,5,5,4-5-5
5303,284,1,25,4,5,5,4-5-5
8179,287,1,25,4,5,5,4-5-5
16534,291,1,25,4,5,5,4-5-5
4840,271,1,24,4,5,5,4-5-5
2422,280,1,24,4,5,5,4-5-5
15359,262,1,23,4,5,5,4-5-5
10341,268,1,23,4,5,5,4-5-5
18303,271,1,23,4,5,5,4-5-5
17409,271,1,23,4,5,5,4-5-5
15875,276,1,23,4,5,5,4-5-5
14668,279,1,23,4,5,5,4-5-5
16444,280,1,23,4,5,5,4-5-5
18380,282,1,23,4,5,5,4-5-5
11514,283,1,23,4,5,5,4-5-5
14630,285,1,23,4,5,5,4-5-5
9604,285,1,23,4,5,5,4-5-5
16827,286,1,23,4,5,5,4-5-5
8351,287,1,23,4,5,5,4-5-5
15991,291,1,23,4,5,5,4-5-5
2468,267,1,22,4,5,5,4-5-5
3022,267,1,22,4,5,5,4-5-5
2187,268,1,22,4,5,5,4-5-5
3114,270,1,22,4,5,5,4-5-5
12571,278,1,22,4,5,5,4-5-5
4520,280,1,22,4,5,5,4-5-5
3095,281,1,22,4,5,5,4-5-5
6201,283,1,22,4,5,5,4-5-5
2310,288,1,22,4,5,5,4-5-5
2901,288,1,22,4,5,5,4-5-5
17234,261,1,21,4,5,5,4-5-5
10100,264,1,21,4,5,5,4-5-5
15879,268,1,21,4,5,5,4-5-5
15545,269,1,21,4,5,5,4-5-5
10663,285,1,21,4,5,5,4-5-5
10286,261,1,15,4,5,5,4-5-5
10456,265,1,15,4,5,5,4-5-5
10790,270,1,15,4,5,5,4-5-5
12281,270,1,15,4,5,5,4-5-5
17894,272,1,15,4,5,5,4-5-5
11050,272,1,15,4,5,5,4-5-5
1722,273,1,15,4,5,5,4-5-5
4406,278,1,15,4,5,5,4-5-5
10289,280,1,15,4,5,5,4-5-5
10251,283,1,15,4,5,5,4-5-5
17960,284,1,15,4,5,5,4-5-5
10658,285,1,15,4,5,5,4-5-5
4306,286,1,15,4,5,5,4-5-5
18177,289,1,15,4,5,5,4-5-5
9504,290,1,15,4,5,5,4-5-5
353,276,1,14,4,5,5,4-5-5
5250,278,1,14,4,5,5,4-5-5
5135,281,1,14,4,5,5,4-5-5
13380,283,1,14,4,5,5,4-5-5
6653,284,1,14,4,5,5,4-5-5
3877,265,1,13,4,5,5,4-5-5
7181,267,1,13,4,5,5,4-5-5
1606,265,1,10,4,5,5,4-5-5
9638,265,1,10,4,5,5,4-5-5
1554,266,1,10,4,5,5,4-5-5
13247,268,1,10,4,5,5,4-5-5
9510,276,1,10,4,5,5,4-5-5
9488,276,1,10,4,5,5,4-5-5
17943,291,1,10,4,5,5,4-5-5
17600,279,1,8,4,5,5,4-5-5
17598,289,1,8,4,5,5,4-5-5
12558,263,1,7,4,5,5,4-5-5
17883,265,1,7,4,5,5,4-5-5
17280,267,1,7,4,5,5,4-5-5
4248,268,1,7,4,5,5,4-5-5
14131,268,1,7,4,5,5,4-5-5
6506,271,1,7,4,5,5,4-5-5
12306,273,1,7,4,5,5,4-5-5
11360,274,1,7,4,5,5,4-5-5
16164,274,1,7,4,5,5,4-5-5
6456,275,1,7,4,5,5,4-5-5
3920,277,1,7,4,5,5,4-5-5
12097,278,1,7,4,5,5,4-5-5
10366,280,1,7,4,5,5,4-5-5
17282,280,1,7,4,5,5,4-5-5
14555,280,1,7,4,5,5,4-5-5
4270,280,1,7,4,5,5,4-5-5
15701,281,1,7,4,5,5,4-5-5
4432,281,1,7,4,5,5,4-5-5
13899,283,1,7,4,5,5,4-5-5
17012,283,1,7,4,5,5,4-5-5
4332,284,1,7,4,5,5,4-5-5
9381,286,1,7,4,5,5,4-5-5
16961,287,1,7,4,5,5,4-5-5
3493,287,1,7,4,5,5,4-5-5
4936,289,1,7,4,5,5,4-5-5
3476,290,1,7,4,5,5,4-5-5
13089,263,1,6,4,5,5,4-5-5
18113,266,1,6,4,5,5,4-5-5
12447,269,1,6,4,5,5,4-5-5
16965,273,1,6,4,5,5,4-5-5
18110,276,1,6,4,5,5,4-5-5
6822,289,1,6,4,5,5,4-5-5
4968,262,1,5,4,5,5,4-5-5
8920,264,1,5,4,5,5,4-5-5
4561,266,1,5,4,5,5,4-5-5
14142,267,1,5,4,5,5,4-5-5
12130,271,1,5,4,5,5,4-5-5
9313,271,1,5,4,5,5,4-5-5
13219,272,1,5,4,5,5,4-5-5
12644,273,1,5,4,5,5,4-5-5
9278,274,1,5,4,5,5,4-5-5
6016,274,1,5,4,5,5,4-5-5
8929,274,1,5,4,5,5,4-5-5
16050,274,1,5,4,5,5,4-5-5
7511,276,1,5,4,5,5,4-5-5
4401,276,1,5,4,5,5,4-5-5
15174,277,1,5,4,5,5,4-5-5
16023,277,1,5,4,5,5,4-5-5
14666,278,1,5,4,5,5,4-5-5
6358,280,1,5,4,5,5,4-5-5
11489,280,1,5,4,5,5,4-5-5
10364,280,1,5,4,5,5,4-5-5
6617,282,1,5,4,5,5,4-5-5
17287,282,1,5,4,5,5,4-5-5
5300,283,1,5,4,5,5,4-5-5
6336,284,1,5,4,5,5,4-5-5
15233,284,1,5,4,5,5,4-5-5
11458,284,1,5,4,5,5,4-5-5
8352,285,1,5,4,5,5,4-5-5
10116,286,1,5,4,5,5,4-5-5
7107,286,1,5,4,5,5,4-5-5
12347,287,1,5,4,5,5,4-5-5
3921,288,1,5,4,5,5,4-5-5
6695,288,1,5,4,5,5,4-5-5
7180,290,1,5,4,5,5,4-5-5
4345,290,1,5,4,5,5,4-5-5
8318,291,1,5,4,5,5,4-5-5
18154,263,1,4,4,5,5,4-5-5
16165,265,1,4,4,5,5,4-5-5
16731,271,1,4,4,5,5,4-5-5
12954,274,1,4,4,5,5,4-5-5
16222,278,1,4,4,5,5,4-5-5
13109,281,1,4,4,5,5,4-5-5
11711,289,1,4,4,5,5,4-5-5
6821,289,1,4,4,5,5,4-5-5
13573,291,1,4,4,5,5,4-5-5
16994,272,1,2,4,5,5,4-5-5
7547,294,1,53,5,5,5,5-5-5
6034,294,1,53,5,5,5,5-5-5
17323,303,1,53,5,5,5,5-5-5
13155,307,1,53,5,5,5,5-5-5
12967,308,1,53,5,5,5,5-5-5
16962,315,1,53,5,5,5,5-5-5
7778,324,1,53,5,5,5,5-5-5
12770,324,1,53,5,5,5,5-5-5
8463,328,1,53,5,5,5,5-5-5
8461,330,1,53,5,5,5,5-5-5
7349,341,1,53,5,5,5,5-5-5
11456,358,1,53,5,5,5,5-5-5
16979,362,1,53,5,5,5,5-5-5
16943,367,1,53,5,5,5,5-5-5
6084,311,1,52,5,5,5,5-5-5
409,333,1,52,5,5,5,5-5-5
11844,295,1,49,5,5,5,5-5-5
1952,309,1,49,5,5,5,5-5-5
2844,327,1,49,5,5,5,5-5-5
10566,349,1,49,5,5,5,5-5-5
15890,293,1,48,5,5,5,5-5-5
11379,299,1,48,5,5,5,5-5-5
10089,302,1,48,5,5,5,5-5-5
16531,314,1,48,5,5,5,5-5-5
16002,321,1,48,5,5,5,5-5-5
17236,322,1,48,5,5,5,5-5-5
11563,324,1,48,5,5,5,5-5-5
14672,325,1,48,5,5,5,5-5-5
16001,335,1,48,5,5,5,5-5-5
10071,351,1,48,5,5,5,5-5-5
14522,351,1,48,5,5,5,5-5-5
6212,352,1,48,5,5,5,5-5-5
14804,355,1,48,5,5,5,5-5-5
18429,361,1,48,5,5,5,5-5-5
13738,305,1,47,5,5,5,5-5-5
17413,343,1,46,5,5,5,5-5-5
13390,352,1,46,5,5,5,5-5-5
1897,308,1,45,5,5,5,5-5-5
12715,332,1,45,5,5,5,5-5-5
2459,359,1,45,5,5,5,5-5-5
9732,308,1,43,5,5,5,5-5-5
9595,308,1,43,5,5,5,5-5-5
10679,329,1,43,5,5,5,5-5-5
9964,332,1,43,5,5,5,5-5-5
12671,368,1,43,5,5,5,5-5-5
11069,295,1,42,5,5,5,5-5-5
3697,295,1,42,5,5,5,5-5-5
937,302,1,42,5,5,5,5-5-5
18305,305,1,42,5,5,5,5-5-5
11209,307,1,42,5,5,5,5-5-5
10308,308,1,42,5,5,5,5-5-5
