customer_key,order_count,unique_purchase_days,total_spent,first_purchase_date,last_purchase_date,loyalty_segment,avg_spend_per_order
177,28,27,2297,2013-02-02,2014-01-27,Loyal,82.04
92,28,28,1826,2013-01-29,2014-01-08,Loyal,65.21
277,27,25,1589,2013-01-29,2014-01-22,Loyal,58.85
301,27,23,2157,2013-01-31,2013-12-31,Loyal,79.89
332,27,26,1791,2013-02-07,2014-01-24,Loyal,66.33
278,27,25,2178,2013-02-02,2014-01-16,Loyal,80.67
201,27,27,2295,2013-02-07,2014-01-20,Loyal,85
331,27,25,2010,2013-02-12,2014-01-22,Loyal,74.44
288,27,27,1769,2013-01-29,2014-01-28,Loyal,65.52
224,27,25,2307,2013-01-29,2014-01-06,Loyal,85.44
186,27,27,2646,2013-02-21,2014-01-26,Loyal,98
263,27,27,1934,2013-02-27,2014-01-22,Loyal,71.63
712,27,26,1632,2013-02-07,2014-01-26,Loyal,60.44
567,25,24,1788,2013-01-28,2014-01-07,Loyal,71.52
79,17,16,1346,2013-02-15,2014-01-28,Loyal,79.18
204,17,17,970,2013-02-20,2013-12-11,Loyal,57.06
212,17,17,1284,2013-02-01,2014-01-07,Loyal,75.53
20,17,17,1238,2013-02-12,2014-01-12,Loyal,72.82
143,17,17,1641,2013-02-13,2014-01-13,Loyal,96.53
216,17,16,1870,2013-02-15,2013-12-15,Loyal,110
213,17,15,1476,2013-01-30,2014-01-17,Loyal,86.82
520,16,14,1542,2013-03-13,2014-01-11,Loyal,96.38
633,16,16,1545,2013-01-30,2014-01-03,Loyal,96.56
508,16,16,1215,2013-02-17,2014-01-20,Loyal,75.94
506,16,16,1585,2013-02-22,2013-12-24,Loyal,99.06
502,16,15,1357,2013-03-27,2014-01-22,Loyal,84.81
501,16,16,1123,2013-01-31,2014-01-10,Loyal,70.19
620,16,16,1085,2013-02-08,2013-12-02,Loyal,67.81
499,16,16,830,2013-02-28,2014-01-09,Loyal,51.88
507,16,15,1270,2013-03-08,2014-01-22,Loyal,79.38
531,16,16,984,2013-01-28,2013-12-30,Loyal,61.5
503,16,17,1917,2013-01-30,2014-01-27,Loyal,119.81
632,16,14,1182,2013-02-07,2013-12-25,Loyal,73.88
254,16,14,1339,2013-03-01,2013-12-03,Loyal,83.69
521,16,15,1458,2013-02-22,2014-01-19,Loyal,91.13
418,7,7,15845,2012-11-04,2013-12-15,Loyal,2263.57
242,7,7,16152,2012-09-10,2013-10-29,Loyal,2307.43
421,7,7,15889,2012-11-01,2013-11-29,Loyal,2269.86
243,7,7,15530,2012-09-19,2013-12-04,Loyal,2218.57
430,6,6,15044,2012-12-14,2013-12-24,Loyal,2507.33
426,6,6,15055,2012-11-22,2013-12-21,Loyal,2509.17
440,6,6,19577,2012-11-29,2013-10-20,Loyal,3262.83
433,6,6,14031,2012-12-10,2013-12-25,Loyal,2338.5
434,6,5,19814,2012-12-02,2013-09-14,Loyal,3302.33
1309,5,5,18212,2011-06-03,2013-11-19,Occasional,3642.4
1055,5,5,473,2013-01-29,2013-12-17,Occasional,94.6
821,5,5,302,2013-02-09,2013-12-06,Occasional,60.4
699,5,5,379,2013-03-31,2014-01-14,Occasional,75.8
770,5,5,590,2013-04-28,2013-09-18,Occasional,118
3266,5,5,215,2013-07-02,2014-01-05,Occasional,43
1125,5,5,18091,2011-01-29,2013-10-07,Occasional,3618.2
1302,5,5,18321,2011-05-10,2013-11-20,Occasional,3664.2
3283,5,5,265,2013-03-07,2014-01-09,Occasional,53
511,5,5,475,2013-03-12,2013-12-26,Occasional,95
809,5,5,773,2013-03-26,2013-10-25,Occasional,154.6
662,5,5,475,2013-04-06,2013-12-14,Occasional,95
653,5,5,416,2013-06-26,2013-12-18,Occasional,83.2
1297,5,5,17990,2011-05-19,2013-10-25,Occasional,3598
710,5,5,559,2013-03-11,2013-10-14,Occasional,111.8
641,5,5,690,2013-03-15,2013-12-29,Occasional,138
660,5,5,304,2013-05-09,2014-01-06,Occasional,60.8
1133,5,5,18172,2011-01-30,2013-10-17,Occasional,3634.4
1301,5,5,18075,2011-05-24,2013-10-17,Occasional,3615
1308,5,5,18004,2011-05-29,2013-11-17,Occasional,3600.8
3092,5,5,421,2013-01-31,2013-08-05,Occasional,84.2
724,5,5,333,2013-01-31,2014-01-03,Occasional,66.6
869,5,5,318,2013-02-02,2013-12-17,Occasional,63.6
3329,5,5,560,2013-02-22,2013-10-03,Occasional,112
803,5,5,214,2013-02-25,2013-12-01,Occasional,42.8
870,5,5,386,2013-03-20,2014-01-16,Occasional,77.2
785,5,5,412,2013-04-12,2013-12-17,Occasional,82.4
876,5,5,380,2013-04-20,2014-01-27,Occasional,76
720,5,5,450,2013-04-26,2013-09-20,Occasional,90
824,5,5,369,2013-05-18,2014-01-23,Occasional,73.8
1132,5,5,18268,2011-02-21,2013-10-10,Occasional,3653.6
1322,5,5,18111,2011-06-02,2013-11-21,Occasional,3622.2
642,5,4,496,2013-01-30,2013-08-18,Occasional,99.2
661,5,5,417,2013-05-08,2013-08-16,Occasional,83.4
842,5,5,477,2013-05-20,2013-11-06,Occasional,95.4
739,5,5,548,2013-02-02,2013-12-27,Occasional,109.6
582,5,5,395,2013-02-11,2013-11-22,Occasional,79
828,5,5,693,2013-02-20,2013-12-09,Occasional,138.6
825,5,5,334,2013-03-18,2014-01-09,Occasional,66.8
678,5,5,491,2013-04-05,2013-11-30,Occasional,98.2
834,5,5,452,2013-06-12,2013-11-28,Occasional,90.4
713,5,5,128,2013-02-04,2013-10-29,Occasional,25.6
725,5,5,350,2013-02-05,2013-12-14,Occasional,70
643,5,5,769,2013-02-09,2014-01-24,Occasional,153.8
923,5,5,346,2013-02-15,2013-10-23,Occasional,69.2
652,5,5,296,2013-03-04,2013-10-18,Occasional,59.2
741,5,5,572,2013-03-07,2014-01-18,Occasional,114.4
3097,5,5,327,2013-06-11,2014-01-20,Occasional,65.4
862,5,5,357,2013-05-14,2013-12-22,Occasional,71.4
749,5,5,150,2013-06-07,2013-11-01,Occasional,30
132,5,5,284,2013-10-18,2014-01-23,Occasional,56.8
2407,4,4,9830,2011-01-28,2013-11-17,Occasional,2457.5
248,4,4,9666,2011-02-18,2013-08-17,Occasional,2416.5
415,4,4,9669,2011-08-13,2013-09-15,Occasional,2417.25
246,4,4,15343,2011-09-26,2013-12-11,Occasional,3835.75
1633,4,4,15626,2011-10-12,2013-06-16,Occasional,3906.5
