audit_id,table_name,load_type,records_loaded,load_started_at,load_ended_at,load_timestamp,status,error_message,file_name,dag_id,run_id
12,raw_crm_cust_info,incremental,1786,2025-07-05 22:39:50.402814,2025-07-05 22:40:09.901166,2025-07-05 22:40:09.901166,success,,cust_info_inc_20250705_2239.csv,daily_refresh_dag,scheduled__2025-07-05T22:36:00+00:00
13,raw_erp_cust_az12,initial,57946,2025-07-10 21:03:33.120851,2025-07-10 21:06:47.124051,2025-07-10 21:06:47.124051,success,,,postgres_dwh_initial_load_dag,scheduled__2025-07-10T21:00:00+00:00
14,raw_erp_cust_az12,incremental,1176,2025-07-10 04:17:33.744134,2025-07-10 04:17:47.451022,2025-07-10 04:17:47.451022,success,,cust_az12_inc_20250710_0417.csv,postgres_dwh_initial_load_dag,scheduled__2025-07-10T04:16:00+00:00
15,raw_crm_cust_info,incremental,1310,2025-07-05 09:27:04.504063,2025-07-05 09:27:05.873590,2025-07-05 09:27:05.873590,success,,cust_info_inc_20250705_0927.csv,weekly_maintenance_dag,scheduled__2025-07-05T09:24:00+00:00
16,raw_erp_cust_az12,incremental,0,2025-07-08 17:45:22.980355,2025-07-08 17:45:42.437346,2025-07-08 17:45:42.437346,timeout,Operation timed out after 300 seconds,cust_az12_inc_20250708_1745.csv,postgres_dwh_initial_load_dag,scheduled__2025-07-08T17:44:00+00:00
17,raw_crm_cust_info,incremental,1147,2025-07-09 06:35:56.968654,2025-07-09 06:40:40.018009,2025-07-09 06:40:40.018009,success,,cust_info_inc_20250709_0635.csv,incremental_load_dag,scheduled__2025-07-09T06:32:00+00:00
18,raw_crm_sales_details,incremental,20269,2025-07-08 20:21:41.250579,2025-07-08 20:21:41.853412,2025-07-08 20:21:41.853412,success,,sales_details_inc_20250708_2021.csv,incremental_load_dag,scheduled__2025-07-08T20:20:00+00:00
19,raw_crm_sales_details,incremental,0,2025-07-08 10:17:23.701026,2025-07-08 10:27:09.613187,2025-07-08 10:27:09.613187,failed,Permission denied accessing source file,sales_details_inc_20250708_1017.csv,weekly_maintenance_dag,scheduled__2025-07-08T10:16:00+00:00
20,raw_crm_cust_info,incremental,1503,2025-07-06 17:33:07.260532,2025-07-06 17:40:03.088794,2025-07-06 17:40:03.088794,success,,cust_info_inc_20250706_1733.csv,incremental_load_dag,scheduled__2025-07-06T17:32:00+00:00
21,raw_erp_cust_az12,incremental,1440,2025-07-03 08:40:38.354406,2025-07-03 08:49:28.286819,2025-07-03 08:49:28.286819,success,,cust_az12_inc_20250703_0840.csv,postgres_dwh_initial_load_dag,scheduled__2025-07-03T08:40:00+00:00
